suppcode,partnumber,partname,stdpack,kategori,lokasi,stdpack_supp,input_user,input_date,imincl
"10775","B5A-1597-03","INST.MANUAL","40","","WM-025","40","pdmbl-si","2016-10-05","1 "
"10775","B5A-1732-04","INST.MANUAL","40","","C2-WM-143","40","pdmbl-si","2017-02-10","1 "
"10775","B5A-2061-02","INST.MANUAL","40","","FB-WM-173","40","pdmbl-si","2017-06-03","  "
"10775","B5A-2117-11","INST.MANUAL","999999","","FB-R2-162","20","pdmbl-si","2019-09-08","1 "
"10698","B5A-2118-11","INST.MANUAL","40","","FB-R1-041","40","ptcps01","2018-11-07","1 "
"10698","B5A-2133-10","INST.MANUAL","999999","","FB-R1-237","20","","2022-02-15","1 "
"10698","B5A-2137-00","INST.MANUAL","40","","C2-XK-170","20","ptcps01","2017-07-18","1 "
"10775","B5A-2143-05","INST.MANUAL","40","","FB-E2-055","40","pdmbl-si","2017-07-14","1 "
"10698","B5A-2154-16","INST.MANUAL","40","","FB-XM-370","40","ptcps01","2018-02-12","  "
"10698","B5A-2300-02","INST.MANUAL","40","","FB-XM-345","999999","Administrator","2018-01-08","1 "
"10775","B5A-2483-12","INST.MANUAL","40","","FB-E2-088","40","pdmbl-si","2018-08-15","1 "
"10775","B5A-2613-12","INST.MANUAL","40","","FB-E2-008","40","pdmbl-si","2018-08-03","1 "
"10698","B5A-2614-12","INST.MANUAL","999999","","FB-E1-263","40","","2021-11-12","1 "
"10775","B5A-2615-04","INST.MANUAL","40","","FB-E2-166","40","pdmbl-si","2018-08-29","1 "
"10775","B5A-2616-07","INST.MANUAL","999999","","","40","pdmbl-si","2018-11-07","  "
"11786","B5A-2617-05","INST.MANUAL","40","","FB-E2-130","999999","Administrator","2019-05-22","1 "
"10698","B5A-2619-00","INST.MANUAL","40","","FB-R1-145","40","ptcps01","2018-08-29","1 "
"10698","B5A-2887-10","INST.MANUAL","40","","BP2-002","40","","2022-03-09","1 "
"10775","B5A-3004-10","INST.MANUAL","40","","BP2-064","40","","2023-09-25","1 "
"10775","B5A-3220-34","INST.MANUAL","40","","FB04-077","20","","2023-12-23","1 "
"10775","B5A-3264-11","INST.MANUAL","40","","BP1-081","40","pdmbl-si","2019-12-07","1 "
"10775","B5A-3346-00","INST.MANUAL","999999","","PRINT","40","pdmbl-si","2019-12-03","1 "
"10775","B5A-3455-10","INST.MANUAL","200","","FB-Y-252","200","","2023-07-13","1 "
"10698","B5A-4053-14","INST.MANUAL","40","","FB07-157","40","","2022-12-28","1 "
"10775","B5E-0016-00","INST.MANUAL    ","40","","W-018     ","40","ManualProcedure","2016-06-03","1 "
"10698","B5E-0174-00","INST.MANUAL","40","","FB-XM-402","40","ptcps01","2018-02-26","1 "
"10775","B5E-0258-00","INST.MANUAL","40","","FB-E2-206","40","","2020-10-19","1 "
"10698","B5H-0126-00","SUB-INST.MANUAL","500","","FB-E1-003","500","ptcps01","2016-11-28","1 "
"10698","B5H-0246-00","SUB-INST.MANUAL","500","","FB-XM-304","500","ptcps01","2018-01-15","  "
"10703","A2B-0211-02","DRESSING PLATE","100","","FS1-070","999999","Administrator","2021-08-04","1 "
"11855","A2C-0050-00","SUB PANEL","20","","FB-Cm-007","40","marketingtechno","2017-08-21","1 "
"11855","A2C-0051-00-TS","SUB PANEL","999999","","","20","marketingtechno","2017-01-11","  "
"11855","A2C-0099-01-TS","SUB_PANEL","999999","","PP","999999","Administrator","2019-10-07","1 "
"12607","A4A-0069-00","BOTTOM PLATE","999999","","","80","","2024-10-10","  "
"10733","A4G-0144-10","REAR COVER","40","","CM1-255","40","","2023-10-18","1 "
"12607","A6A-0024-10   6","PANEL","120","","FP2-155","120","","2024-10-10","  "
"11855","A6C-0044-0N","PANEL","20","","FB-CM-236","40","","2021-04-05","1 "
"10733","A8A-0006-02","REAR PANEL     ","216","","PB-Q-072","216","ManualProcedure","2016-06-03","1 "
"10733","A8A-0008-0Q","REAR PANEL     ","240","",">Q-83     ","240","ManualProcedure","2016-06-03","1 "
"10733","A8A-0024-0L-TS","REAR PANEL     ","999999","","","240","ManualProcedure","2016-06-03","  "
"10733","A8A-0029-1B","REAR PANEL     ","40","","FB-B-117","100","ManualProcedure","2016-06-03","1 "
"10733","A8A-0034-08","REAR PANEL     ","210","","PB-Q-003","210","pthtp","2017-03-14","1 "
"10733","A8A-0040-05","REAR PANEL","108","","IE1-076","108","pthtp","2019-08-27","1 "
"10733","A8A-0042-08-TS","REAR PANEL     ","999999","","","999999","ManualProcedure","2016-06-03","  "
"10733","A8A-0045-01","REAR PANEL","999999","","","120","pthtp","2018-02-28","  "
"10733","A8A-0048-0W-TS","REAR PANEL","999999","","","999999","Administrator","2018-05-28","  "
"10733","A8A-0048-16","REAR PANEL","100","","DM1-100","100","pthtp","2018-02-21","1 "
"10733","A8A-0063-01-TS","REAR PANEL","999999","","","999999","Administrator","2018-01-08","  "
"10733","A8A-0063-0B","REAR PANEL","240","","PB-Q-111","240","pthtp","2018-06-29","1 "
"10733","A8A-0073-02","REAR PANEL","100","","FB-D2-138","100","pthtp","2020-03-02","1 "
"12607","B0H-0049-00   6","ESCUTCHEON","160","","FP2-117","160","","2024-10-10","1 "
"10703","B1B-0013-00","OPTI.DIFFUSER  ","999999","","*L-182    ","999999","chiyoda","2018-09-04","1 "
"10620","B1B-0093-00","REF.SHEET      ","999999","","FS2-044","2000","flexi2009","2020-02-24","1 "
"10620","B1B-0244-00","OPTI.DIFFUSER","999999","","JS1-299","500","","2022-05-30","1 "
"11855","B1K-0058-01","LIGHTING BOARD","50","","KIT","50","marketingtechno","2017-01-11","  "
"11855","B1K-0071-02","LIGHTING BOARD","100","","JS4-007","2000","marketingtechno","2017-08-15","1 "
"10703","B41-1593-14","C.STICKER      ","500","","FS-A2-139","99999","chiyoda","2018-09-04","1 "
"10620","B4A-0981-00","NAME PLATE","999999","","PR-PRINT","1000","flexi2009","2017-08-04","1 "
"10620","B4C-0255-0S","POP STICKER","999999","","C2-","2000","flexi2009","2020-02-24","1 "
"10620","B4C-0556-01","POP STICKER","999999","","C2-","2000","flexi2009","2017-08-31","1 "
"10620","B4G-0104-00","ID CARD","999999","","FS-A3-026","1000","flexi2009","2020-02-24","1 "
"10698","B5A-0052-00","INST.MANUAL    ","40","","X-201     ","40","ManualProcedure","2016-06-03","1 "
"10698","B5A-0070-00","INST.MANUAL    ","20","","KE-X-093","20","ManualProcedure","2016-06-03","1 "
"10698","B5A-0107-01","INST.MANUAL    ","40","","X-015     ","40","ManualProcedure","2016-06-03","1 "
"10698","B5A-0116-02","INST.MANUAL    ","40","","FB-R1-106","40","ManualProcedure","2016-06-03","1 "
"10775","B5A-0118-01","INST.MANUAL    ","40","","W-015     ","40","ManualProcedure","2016-06-03","1 "
"10698","B5A-0163-00","INST.MANUAL    ","40","","X-047     ","40","ManualProcedure","2016-06-03","1 "
"10775","B5A-0817-00","INST.MANUAL    ","40","","FB-R2-107","40","ManualProcedure","2016-06-03","1 "
"10698","B5A-0860-08","INST.MANUAL    ","40","","XM-150   ","40","ManualProcedure","2016-06-03","1 "
"10775","B5A-0873-00","INSTALL MANUAL ","40","SML","FB-R2-192","40","ManualProcedure","2016-06-03","1 "
"10698","B5A-1049-12","INST.MANUAL    ","40","","FB-E1-109","40","ptcps01","2016-06-06","1 "
"10698","B5A-1050-03","INST.MANUAL    ","999999","","","40","ptcps01","2016-06-06","  "
"10775","B5A-1062-02","INST.MANUAL    ","40","","WM-068 ","40","ManualProcedure","2016-06-03","  "
"10775","B5A-1063-03","INST.MANUAL    ","40","","WM-085 ","40","ManualProcedure","2016-06-03","1 "
"10775","B5A-1064-05","INST.MANUAL    ","40","","WM-166 ","40","ManualProcedure","2016-06-03","1 "
"10775","B5A-1135-00","INST.MANUAL    ","40","","FB-R2-047","40","pdmbl-si","2016-06-09","1 "
"10698","B5A-1327-00","INST.MANUAL    ","20","","XM-034   ","20","ManualProcedure","2016-06-03","1 "
"10775","B5A-1332-00","INST.MANUAL","40","","FB-R2-023","40","pdmbl-si","2016-08-31","1 "
"10698","B5A-1348-00","INST.MANUAL","40","","XK-082","40","ptcps01","2016-10-15","1 "
"10775","B5A-1566-12","INST.MANUAL","40","","FB-WM-148","40","pdmbl-si","2017-02-11","1 "
"10698","B5A-1596-10","INST.MANUAL","40","","FB-XM-187","40","ptcps01","2016-12-30","1 "
"10775","B5A-1597-05","INST.MANUAL","40","","WM-010","40","pdmbl-si","2016-12-29","1 "
"10775","B5A-2101-00","INST.MANUAL","40","","FB-R2-102","40","pdmbl-si","2017-12-26","  "
"10775","B5A-2106-10","INST.MANUAL","40","","FB-R2-034","40","pdmbl-si","2019-03-06","1 "
"10698","B5A-2146-06","INST.MANUAL","40","","XM-311","40","ptcps01","2017-11-28","1 "
"10698","B5A-2149-01","INST.MANUAL","40","","FB-XM-248","40","ptcps01","2017-07-05","1 "
"10775","B5A-2298-12","INST.MANUAL","999999","","FB-E2 ","40","pdmbl-si","2019-05-28","  "
"10775","B5A-2483-11","INST.MANUAL","40","","FB-WM-228","40","pdmbl-si","2018-08-15","1 "
"10698","B5A-2504-00","INST.MANUAL","40","","FB-XK-252","40","ptcps01","2018-09-10","  "
"10698","B5A-2887-12","INST.MANUAL","40","","BP2-004","40","","2022-03-25","1 "
"10775","B5A-2890-04","INST.MANUAL","40","","FB-E2-124","40","pdmbl-si","2019-05-15","1 "
"10698","B5A-3094-00","INST.MANUAL","40","","FB-R1-166","20","ptcps01","2019-08-27","1 "
"10775","B5A-3342-04","INST.MANUAL","40","","FB-E2-191","40","pdmbl-si","2020-03-07","1 "
"10775","B5A-3462-10","INST.MANUAL","200","","BP1-229","200","","2023-07-13","1 "
"10775","B5A-4041-11","INST.MANUAL","40","","BP2-069","40","","2022-08-10","1 "
"10775","B5A-4046-12","INST.MANUAL","40","","FB-E2-320","40","","2022-11-23","1 "
"10698","B5A-4054-00","INST.MANUAL","40","","FB-E1-314","40","","2022-11-07","1 "
"11786","B5H-0105-00","SUB-INST.MANUAL","40","","FB-WK-042 ","800","cinmkt01","2017-04-06","1 "
"10698","B5H-0335-00","CAUTION CARD","500","","FB-R1-160","500","ptcps01","2019-08-06","1 "
"10775","B5H-0371-00","SUB-INST.MANUAL","40","","FB-E2-187","1000","pdmbl-si","2020-02-19","  "
"12607","A1A-0070-04","CHASS.CALK.ASSY","20","","GM1-019","20","","2023-12-27","1 "
"10703","A2B-0211-11","DRESSING PLATE","100","","FS-A1-094","999999","Administrator","2020-11-02","1 "
"11855","A2C-0116-02","SUB PANEL ASSY","999999","","KIT","60","","2022-05-23","1 "
"11855","A2C-0117-12","SUB PANEL ASSY","60","","KIT","60","","2023-02-01","  "
"10733","A2D-0055-01","REAR PANEL","180","","CM1-275","180","","2024-01-10","1 "
"10733","A4A-0002-04","BOTTOM PLATE   ","40","","KIT       ","40","ManualProcedure","2016-06-03","1 "
"10733","A4G-0162-00","REAR COVER","40","","DM1-201","20","","2025-01-07","1 "
"10733","A5C-0141-02","TOP PLATE","999999","","","999999","Administrator","2023-09-13","  "
"11855","A6C-0044-08","PANEL","20","","","20","marketingtechno","2018-09-06","1 "
"10733","A8A-0008-0J","REAR PANEL     ","240","","C2    ","240","ManualProcedure","2016-06-03","1 "
"10733","A8A-0027-04","REAR PANEL     ","144","",">Q-147    ","216","pthtp","2017-03-23","1 "
"10733","A8A-0034-0C-TS","REAR PANEL","999999","","","999999","Administrator","2016-07-18","  "
"10733","A8A-0034-0D-TS","REAR PANEL","999999","","","999999","Administrator","2016-12-19","  "
"10733","A8A-0039-00","REAR PANEL     ","210","","PB-Q-058","210","pthtp","2017-03-08","1 "
"10733","A8A-0045-03","REAR PANEL","999999","","FB-B-152","120","pthtp","2017-07-06","1 "
"10733","A8A-0048-00","REAR PANEL","100","","FB-F-083","100","pthtp","2016-10-03","1 "
"10733","A8A-0063-03-TS","REAR PANEL","999999","","","999999","Administrator","2018-01-08","  "
"10733","A8A-0063-07-TS","REAR PANEL","999999","","","999999","Administrator","2018-04-13","  "
"10620","B0D-0006-00","DRESSING SEAL","999999","","FS-A4-040","120","flexi2009","2020-02-24","1 "
"10703","B1A-0099-02-TS","FRONT GLASS","999999","","","999999","Administrator","2018-05-23","  "
"11855","B1B-0180-00","LENS","80","","EP1-210","960","marketingtechno","2019-12-10","1 "
"11855","B1K-0050-01","LIGHTING BOARD","40","","KIT","2000","marketingtechno","2017-09-11","1 "
"11855","B1K-0149-00-TS","LIGHTING BOARD","999999","","","1000","marketingtechno","2019-02-01","1 "
"10620","B4A-0486-01","NAME PLATE     ","999999","","C2-PRINT","1000","flexi2009","2020-02-24","1 "
"10620","B4C-0429-00","LABEL          ","999999","","","1000","flexi2009","2020-02-24","  "
"10620","B4C-0556-0M","POP STICKER","999999","","FS-*K3","2000","flexi2009","2020-02-24","1 "
"10698","B5A-0069-00","INST.MANUAL    ","40","","X-178     ","40","ManualProcedure","2016-06-03","1 "
"10698","B5A-0113-00","INST.MANUAL    ","40","","X-292     ","40","ManualProcedure","2016-06-03","1 "
"10698","B5A-0113-05","INST.MANUAL    ","40","","X-176     ","40","ManualProcedure","2016-06-03","1 "
"10698","B5A-0191-00","INST.MANUAL    ","40","","X-016     ","40","ManualProcedure","2016-06-03","1 "
"10775","B5A-0218-00","INST.MANUAL    ","10","","W-026     ","10","ManualProcedure","2016-06-03","1 "
"10698","B5A-0231-00","INST.MANUAL    ","40","","X-318     ","40","ManualProcedure","2016-06-03","1 "
"10775","B5A-0375-01","INST.MANUAL    ","40","","W-136     ","40","ManualProcedure","2016-06-03","1 "
"10775","B5A-0382-01","INST.MANUAL","40","","FB-WM-50","40","pdmbl-si","2016-10-27","1 "
"10698","B5A-0383-00","INST.MANUAL    ","40","","X-220     ","40","ManualProcedure","2016-06-03","1 "
"10698","B5A-0560-01","INST.MANUAL    ","500","","FB-R1-152","500","ManualProcedure","2016-06-03","1 "
"10775","B5A-0813-10","INST.MANUAL    ","40","","WK-038 ","40","ManualProcedure","2016-06-03","1 "
"10698","B5A-0864-00","INST.MANUAL    ","40","","FB-E1-144","40","ManualProcedure","2016-06-03","1 "
"10775","B5A-0878-10","INST.MANUAL    ","40","","W-177     ","40","ManualProcedure","2016-06-03","1 "
"10775","B5A-0894-00","INST.MANUAL    ","40","","WK-052   ","40","ManualProcedure","2016-06-03","1 "
"10698","B5A-1048-13","INST.MANUAL","40","","XM-509","40","ptcps01","2016-07-28","1 "
"10698","B5A-1049-08","INST.MANUAL    ","40","","X-343     ","40","ManualProcedure","2016-06-03","  "
"10698","B5A-1330-00","INST.MANUAL","40","","FB-R1-059","40","ptcps01","2016-08-31","1 "
"10698","B5A-1345-00","INST.MANUAL","40","","C2-XK-042","40","ptcps01","2016-10-29","1 "
"10775","B5A-1357-00","INST.MANUAL","40","","FB-R2-113","40","pdmbl-si","2016-10-22","1 "
"10775","B5A-1375-00","INST.MANUAL","40","","FB-R2-110","40","pdmbl-si","2017-02-21","1 "
"10698","B5A-1596-06","INST.MANUAL","40","","XM-050","40","ptcps01","2016-10-13","1 "
"10775","B5A-1628-00","INST.MANUAL","40","","WK-077","40","pdmbl-si","2016-09-28","1 "
"10698","B5A-1734-04","INST.MANUAL","40","","FB-XM-207","40","ptcps01","2017-01-20","1 "
"10775","B5A-2132-00","INST.MANUAL","20","","FB-WK-151","20","pdmbl-si","2017-08-15","1 "
"10698","B5A-2133-00","INST.MANUAL","40","","FB-R1-017","20","ptcps01","2017-09-13","1 "
"10698","B5A-2154-06","INST.MANUAL","40","","C2-XM-320","40","ptcps01","2017-11-28","1 "
"10775","B5A-2507-00","INST.MANUAL","40","","FB-R2-016","40","pdmbl-si","2018-01-05","1 "
"11786","B5A-2607-06","INST.MANUAL","40","","FB-E2-026","40","cinmkt01","2018-07-27","1 "
"10698","B5A-2614-07","INST.MANUAL","40","","FB-E1-095","40","ptcps01","2019-04-05","  "
"10698","B5A-2972-14","INST.MANUAL","40","","FB-E1-044","40","ptcps01","2019-02-11","1 "
